id,title,doi,authors,domains,type,publication_year,summary,source,created_at,topics
3,Factors associated with consistent condom use: a cross-sectional survey of two Nigerian universities,https://doi.org/10.1186/s12889-019-7543-1,"{""Anthony Idowu Ajayi"",""Kafayat Olanike Ismail"",""Wilson Akpan""}","{Condom,Medicine,""Cross-sectional study"",Demography,Biostatistics,""Logistic regression"",Odds,Population,""Family planning"",""Public health"",Gynecology,""Environmental health"",""Human immunodeficiency virus (HIV)"",""Family medicine"",Syphilis,""Research methodology"",Nursing,Pathology,Sociology,""Internal medicine""}",publication,2019,"This cross-sectional study of university students in Nigeria examined factors associated with consistent condom use. Findings indicate that consistent condom usage is positively associated with perceived condom negotiation skills, positive condom attitudes, and the absence of misconceptions about condoms. These findings highlight the importance of addressing condom-related knowledge and negotiation skills in sexual health interventions among university students in Nigeria to promote safer sexual practices and prevent the spread of sexually transmitted infections.",openalex,2025-01-14 15:32:26.426338+00,{}
5,Low coverage of HIV testing among adolescents and young adults in Nigeria: Implication for achieving the UNAIDS first 95,https://doi.org/10.1371/journal.pone.0233368,"{""Anthony Idowu Ajayi"",""Oluwafemi Emmanuel Awopegba"",""Oluwafemi Adeagbo"",""Boniface Ayanbekongshie Ushie""}","{Medicine,""Educational attainment"",Demography,""Young adult"",""Marital status"",""Logistic regression"",Population,""Cross-sectional study"",""Human immunodeficiency virus (HIV)"",Odds,""Odds ratio"",""Men who have sex with men"",Gerontology,""Environmental health"",Immunology,Syphilis,""Internal medicine"",Pathology,Sociology,Economics,""Economic growth""}",publication,2020,"Adolescents and young adults (AYAs) in Nigeria have low HIV testing coverage, hindering efforts to achieve the UNAIDS first 95 goal of 95% of people knowing their HIV status. This low coverage suggests a need for targeted interventions to increase HIV testing among AYAs, such as expanding access to testing services in youth-friendly settings and addressing the social and cultural barriers that prevent AYAs from accessing testing.",openalex,2025-01-14 15:32:30.409511+00,{}
6,Factors associated with repeat induced abortion in Kenya,https://doi.org/10.1186/s12889-015-2400-3,"{""Beatrice W. Maina"",""Michael Mutua"",""Estelle Sidze""}","{Abortion,Medicine,""Unsafe abortion"",""Family planning"",""Unintended pregnancy"",""Reproductive health"",Demography,Population,Pregnancy,""Public health"",Obstetrics,""Family medicine"",Gynecology,""Environmental health"",""Research methodology"",Nursing,Genetics,Sociology,Biology}",publication,2015,Failed to generate content due to technical issues,openalex,2025-01-14 15:32:33.231778+00,{}
8,"Parent-child sexual and reproductive health communication among very young adolescents in Korogocho informal settlement in Nairobi, Kenya",https://doi.org/10.1186/s12978-020-00938-3,"{""Beatrice W. Maina"",""Boniface Ayanbekongshie Ushie"",""Caroline W. Kabiru""}","{""Reproductive health"",""Developmental psychology"",""Health communication"",""Reproductive medicine"",Psychology,Medicine,Population,Pregnancy,""Environmental health"",Communication,Biology,Genetics}",publication,2020,"Parent-child communication about sexual and reproductive health is limited among very young adolescents (VYAs) in Korogocho, an informal settlement in Nairobi, Kenya. Parents are reluctant to initiate discussions and VYAs are often uncomfortable or lack the knowledge to raise sensitive issues. This gap hinders VYAs' ability to access essential information and services, potentially leading to negative health outcomes. Interventions are needed to address these communication barriers and improve VYAs' sexual and reproductive health.",openalex,2025-01-14 15:32:37.144646+00,{}
9,Exploration of Gender Norms and Socialization Among Early Adolescents: The Use of Qualitative Methods for the Global Early Adolescent Study,https://doi.org/10.1016/j.jadohealth.2017.07.006,"{""Kristin Mmari"",""Robert W. Blum"",""Rebkha Atnafou"",""Elisa Chilet‐Rosell"",""Sara De Meyer"",""Omaima El‐Gibaly"",""Sharmistha Basu"",""Bamidele Bello"",""Beatrice W. Maina"",""Xiayun Zuo""}","{Socialization,""Qualitative research"",Psychology,""Developmental psychology"",""Gender studies"",Sociology,""Social science""}",publication,2017,"Used qualitative methods to explore gender norms and socialization among early adolescents for the Global Early Adolescent Study. Findings suggest that early adolescents are actively navigating and negotiating gender norms, and that their experiences vary based on their gender, culture, and context. The study highlights the importance of understanding the complex ways in which gender norms are constructed and reinforced, and the implications for adolescent development and well-being.",openalex,2025-01-14 15:32:39.02827+00,{}
10,Adolescent and Parental Reactions to Puberty in Nigeria and Kenya: A Cross-Cultural and Intergenerational Comparison,https://doi.org/10.1016/j.jadohealth.2017.03.014,"{""Bamidele Bello"",""Adesegun Fatusi"",""Oluwatomi E. Adepoju"",""Beatrice W. Maina"",""Caroline W. Kabiru"",""Marni Sommer"",""Kristin Mmari""}","{Demography,""Developmental psychology"",Psychology,Medicine,Sociology}",publication,2017,"Examines how adolescents and parents in Nigeria and Kenya experience and react to puberty across generations. Findings show that despite cultural differences, adolescents in both countries experience similar pubertal changes and emotional reactions. However, parents in Kenya tend to have a more open and supportive attitude toward their children's puberty compared to parents in Nigeria. This cross-cultural comparison highlights the importance of considering both cultural and generational perspectives when understanding adolescent development and the role of parents in supporting their children through this transition.",openalex,2025-01-14 15:32:41.175747+00,{}
21,"APHRC Newsletter Issue 3 2024: The Stories of Change
                    ﻿",,{},{},publication,,"The APHRC Newsletter Issue 3 2024 presents a compilation of stories that highlight the transformative impact of research on communities in Africa. These stories demonstrate how research-informed interventions have contributed to improved health outcomes, economic empowerment, and social justice. By sharing these experiences, the newsletter aims to inspire and motivate policymakers, researchers, and practitioners to continue using research to drive positive change.",knowhub,2025-01-14 15:33:24.463832+00,{}
22,"Co-Creation and Validation Workshop for Examining Participation and Quality of Experiences of Women in Science Technology Engineering and Mathematics (STEM): Postgraduate Training Programs and Careers in East Africa
                    ﻿",,{},{},publication,,"Co-creation and validation workshops examined participation and experiences of women in STEM postgraduate training programs and careers in East Africa. Findings revealed challenges in career advancement and leadership, and identified the need for mentorship, networking opportunities, and family-friendly policies to support women in STEM. This research emphasizes the importance of inclusive and equitable environments to foster women's participation and career development in STEM fields.",knowhub,2025-01-14 15:33:26.327834+00,"{""Gender Norms""}"
23,"APHRC Annual Performance Review Report
                    ﻿",,{},{},publication,,"The APHRC Annual Performance Review Report evaluates the organization's progress towards its strategic goals. The report highlights areas of success and challenges in implementing programs and initiatives related to health, gender, and equity in Africa. The findings provide valuable insights for refining future strategies and ensuring that APHRC continues to contribute effectively to the improvement of health outcomes and social development on the continent.",knowhub,2025-01-14 15:33:28.110207+00,{}
24,"APHRC Resource Mobilization Strategy 2022-2026
                    ﻿",,{},{},publication,,"The APHRC Resource Mobilization Strategy 2022-2026 outlines a plan to secure funding for the organization's research and policy initiatives. The strategy aims to diversify funding sources, increase revenue from core and non-core grants, and enhance partnerships with key stakeholders. By implementing this strategy, APHRC seeks to strengthen its financial sustainability and continue its mission of conducting high-impact research on health and equity in Africa.",knowhub,2025-01-14 15:33:30.099267+00,{}
