id,title,doi,authors,domains,type,publication_year,summary,source,created_at,topics
1,The short-term economic effects of COVID-19 on low-income households in rural Kenya: An analysis using weekly financial household data,https://doi.org/10.1016/j.worlddev.2020.105280,"{""Wendy Janssens"",""Menno Pradhan"",""Richard de Groot"",""Estelle Sidze"",""Hermann Pythagore Pierre Donfouet"",""Amanuel Alemu Abajobir""}","{Livelihood,Economics,Loan,""Household income"",""Demographic economics"",Poverty,Pandemic,""Work (physics)"",""Labour economics"",Socioeconomics,Business,""Coronavirus disease 2019 (COVID-19)"",Agriculture,""Economic growth"",Finance,Geography,Medicine,""Mechanical engineering"",Disease,Archaeology,Pathology,""Infectious disease (medical specialty)"",Engineering}",publication,2020,"COVID-19 had severe short-term economic impacts on low-income rural Kenyan households, with income losses, increased food insecurity, and debt accumulation. These findings highlight the vulnerability of low-income households to economic shocks and the need for targeted interventions to mitigate the impacts of future crises.",openalex,2025-01-12 09:39:07.004414+00,"{""Socioeconomic Factors"",""Health Disparities""}"
2,"Challenges to implementing national comprehensive sexuality education curricula in low- and middle-income countries: Case studies of Ghana, Kenya, Peru and Guatemala",https://doi.org/10.1371/journal.pone.0200513,"{""Sarah Keogh"",""Melissa Stillman"",""Kofi Awusabo‐Asare"",""Estelle Sidze"",""Ana Silvia Monzón"",""Angélica Motta"",""Ellie Leong""}","{Curriculum,""Reproductive health"",""Developing country"",""Government (linguistics)"",""Low and middle income countries"",""Economic growth"",""Political science"",""Qualitative research"",Medicine,""Medical education"",Population,""Environmental health"",Sociology,""Social science"",Linguistics,Philosophy,Economics}",publication,2018,"Implementing national comprehensive sexuality education curricula in low- and middle-income countries faces significant challenges, as evidenced by case studies in Ghana, Kenya, Peru, and Guatemala. Barriers include sociocultural beliefs, resistance from religious groups, and lack of teacher training and resources. Despite these challenges, comprehensive sexuality education is crucial for promoting sexual and reproductive health and gender equality and should be prioritized in these settings.",openalex,2025-01-12 09:39:08.989292+00,"{""Comprehensive Sexuality Education"",""Socioeconomic Factors""}"
3,Young Women’s Access to and Use of Contraceptives: The Role of Providers’ Restrictions in Urban Senegal,https://doi.org/10.1363/4017614,"{""Estelle Sidze"",""Solène Lardoux"",""Ilene S. Speizer"",""Cheikh Fayé"",""Michael Mutua"",""Fanding Badji""}","{""Family planning"",Medicine,""Marital status"",Pill,""Reproductive health"",Population,Demography,""Family medicine"",""Environmental health"",Nursing,""Research methodology"",Sociology}",publication,2014,"Limited access to contraceptives can hamper family planning efforts, particularly among vulnerable populations like young women. Research in urban Senegal indicates that healthcare providers frequently impose restrictions on contraceptive use for young women, which limits their autonomy and undermines their ability to make informed decisions about their reproductive health. This highlights the need for policies and interventions that promote young women's reproductive rights and empower them with comprehensive sexual and reproductive health education.",openalex,2025-01-12 09:39:10.893839+00,"{""Family Planning"",""Adolescent Health""}"
4,Factors associated with repeat induced abortion in Kenya,https://doi.org/10.1186/s12889-015-2400-3,"{""Beatrice W. Maina"",""Michael Mutua"",""Estelle Sidze""}","{Abortion,Medicine,""Unsafe abortion"",""Family planning"",""Unintended pregnancy"",""Reproductive health"",Demography,Population,Pregnancy,""Public health"",Obstetrics,""Family medicine"",Gynecology,""Environmental health"",""Research methodology"",Nursing,Genetics,Sociology,Biology}",publication,2015,"Repeat induced abortion (RIA) is a significant public health concern in Kenya, with high rates in the country. This study identifies factors associated with RIA, including early initiation of sexual activity, low levels of education, and low socioeconomic status. These findings highlight the need for interventions to address these factors, such as comprehensive sexuality education, access to contraception, and economic empowerment.",openalex,2025-01-12 09:39:12.708068+00,"{""Family Planning"",""Comprehensive Sexuality Education""}"
5,"Towards comprehensive sexuality education: a comparative analysis of the policy environment surrounding school-based sexuality education in Ghana, Peru, Kenya and Guatemala",https://doi.org/10.1080/14681811.2018.1533460,"{""Christine Panchaud"",""Sarah Keogh"",""Melissa Stillman"",""Kofi Awusabo‐Asare"",""Angélica Motta"",""Estelle Sidze"",""Ana Silvia Monzón""}","{""Human sexuality"",""Policy analysis"",""Latin Americans"",""Economic growth"",""Sexuality education"",""Gender analysis"",""Political science"",""Education policy"",""Reproductive health"",Sociology,""Public administration"",""Sex education"",""Higher education"",""Gender studies"",Economics,Population,Law,Demography}",publication,2018,"A comparative analysis of comprehensive sexuality education (CSE) policies in Ghana, Peru, Kenya, and Guatemala revealed significant disparities in the level of implementation and effectiveness. While policies in some countries promote comprehensive and inclusive CSE programs, others remain restrictive, limiting access to essential information and services. The findings highlight the need for a comprehensive approach to CSE that addresses the diverse needs of students and recognizes the importance of parental involvement and community engagement.",openalex,2025-01-12 09:39:14.668435+00,"{""Comprehensive Sexuality Education"",""Adolescent Health""}"
6,"Factors affecting adherence to antiretroviral therapy among pregnant women in the Eastern Cape, South Africa",https://doi.org/10.1186/s12879-018-3087-8,"{""Oladele Vincent Adeniyi"",""Anthony Idowu Ajayi"",""Daniel Ter Goon"",""Eyitayo Omolara Owolabi"",""Alfred Eboh"",""John S. Lambert""}","{Medicine,""Logistic regression"",Pregnancy,""Family medicine"",""Context (archaeology)"",""Marital status"",""Environmental health"",Demography,Population,""Internal medicine"",Paleontology,Genetics,Sociology,Biology}",publication,2018,"Factors like stigma, depression, and lack of social support negatively impact adherence to antiretroviral therapy (ART) among pregnant women in the Eastern Cape, South Africa. Enhanced adherence interventions should address these factors by providing psychosocial support and addressing stigma to improve maternal and infant health outcomes related to HIV.",openalex,2025-01-12 09:39:16.927674+00,"{""Maternal Health"",""HIV Prevention""}"
7,High rate of unplanned pregnancy in the context of integrated family planning and HIV care services in South Africa,https://doi.org/10.1186/s12913-018-2942-z,"{""Oladele Vincent Adeniyi"",""Anthony Idowu Ajayi"",""Mayowa Gabriel Moyaki"",""Daniel Ter Goon"",""Gordana Avramovic"",""John S. Lambert""}","{""Nursing research"",""Health administration"",Medicine,""Health informatics"",""Public health"",""Context (archaeology)"",""Family planning"",""Human immunodeficiency virus (HIV)"",Pregnancy,""Developing country"",""Health services research"",""Family medicine"",Nursing,Obstetrics,""Environmental health"",""Economic growth"",Population,""Research methodology"",Paleontology,Genetics,Biology,Economics}",publication,2018,"An integrated family planning and HIV care service program in South Africa has a high rate of unplanned pregnancies. Despite access to contraception and HIV prevention methods, many women become pregnant unintentionally, suggesting that the effectiveness of the program may need to be improved. This finding underscores the importance of comprehensive reproductive health services and tailored interventions to reduce unplanned pregnancy rates in similar settings.",openalex,2025-01-12 09:39:18.733142+00,"{""Family Planning"",""HIV Prevention""}"
8,Factors associated with consistent condom use: a cross-sectional survey of two Nigerian universities,https://doi.org/10.1186/s12889-019-7543-1,"{""Anthony Idowu Ajayi"",""Kafayat Olanike Ismail"",""Wilson Akpan""}","{Condom,Medicine,""Cross-sectional study"",Demography,Biostatistics,""Logistic regression"",Odds,Population,""Family planning"",""Public health"",Gynecology,""Environmental health"",""Human immunodeficiency virus (HIV)"",""Family medicine"",Syphilis,""Research methodology"",Nursing,Pathology,Sociology,""Internal medicine""}",publication,2019,"Identified several factors associated with consistent condom use among university students in Nigeria. The findings suggest that students who perceive themselves to be at risk of sexually transmitted infections (STIs), have high self-efficacy in using condoms, and receive condom-promotion messages are more likely to use condoms consistently. Interventions targeting these factors could increase condom use and reduce STI transmission in this population.",openalex,2025-01-12 09:39:20.545284+00,"{""HIV Prevention"",""Infectious Disease Control""}"
9,"Alcohol use among Nigerian university students: prevalence, correlates and frequency of use",https://doi.org/10.1186/s12889-019-7104-7,"{""Anthony Idowu Ajayi"",""Eyitayo Omolara Owolabi"",""Oluyinka Olutola Olajire""}","{Medicine,Biostatistics,""Public health"",Religiosity,Odds,Attendance,Alcohol,Epidemiology,""Cross-sectional study"",""Descriptive statistics"",""Environmental health"",Demography,""Logistic regression"",Psychology,""Social psychology"",Biochemistry,Chemistry,Statistics,Nursing,Mathematics,Pathology,Sociology,""Internal medicine"",Economics,""Economic growth""}",publication,2019,"Nigerian university students exhibit a high prevalence of alcohol use, with significant associations to sociodemographic factors and mental health issues. Frequent alcohol consumption is associated with hazardous drinking patterns, highlighting the need for targeted interventions to reduce alcohol-related harm among this population.",openalex,2025-01-12 09:39:22.109913+00,"{""Mental Health Support"",""Socioeconomic Factors""}"
10,Low coverage of HIV testing among adolescents and young adults in Nigeria: Implication for achieving the UNAIDS first 95,https://doi.org/10.1371/journal.pone.0233368,"{""Anthony Idowu Ajayi"",""Oluwafemi Emmanuel Awopegba"",""Oluwafemi Adeagbo"",""Boniface Ayanbekongshie Ushie""}","{Medicine,""Educational attainment"",Demography,""Young adult"",""Marital status"",""Logistic regression"",Population,""Cross-sectional study"",""Human immunodeficiency virus (HIV)"",Odds,""Odds ratio"",""Men who have sex with men"",Gerontology,""Environmental health"",Immunology,Syphilis,""Internal medicine"",Pathology,Sociology,Economics,""Economic growth""}",publication,2020,"Adolescents and young adults in Nigeria have low rates of HIV testing, hindering efforts to reach the UNAIDS first 95 target (95% of people with HIV knowing their status). This low testing coverage has significant implications for HIV prevention and control measures among this vulnerable population.",openalex,2025-01-12 09:39:23.789189+00,{}
